team_name,player_name,age,nationality,potential_goals_per_game,physicality,image_path,data_source,photo_source
Arsenal,Viktor Gyökeres,28,Sweden,0.75,3,/images/players/arsenal/viktor_gyokeres.png,2025-26 PL (rescaled),premierleague.com
Arsenal,Bukayo Saka,25,England,0.49,3,/images/players/arsenal/bukayo_saka.png,2025-26 PL (rescaled),premierleague.com
Arsenal,Kai Havertz,27,Germany,0.37,1,/images/players/arsenal/kai_havertz.png,2025-26 PL (rescaled),premierleague.com
Arsenal,Noni Madueke,24,England,0.25,3,/images/players/arsenal/noni_madueke.png,2025-26 PL (rescaled),premierleague.com
Arsenal,Max Dowman,16,England,0.25,1,/images/players/arsenal/max_dowman.svg,2025-26 PL (rescaled),generated avatar
Arsenal,Christos Tzolis,24,Greece,0.54,3,/images/players/arsenal/christos_tzolis.png,estimated,premierleague.com
Man City,Erling Haaland,26,Norway,1.3,3,/images/players/man_city/erling_haaland.png,2025-26 PL (rescaled),premierleague.com
Man City,Antoine Semenyo,26,Ghana,0.86,3,/images/players/man_city/antoine_semenyo.png,2025-26 PL (rescaled),premierleague.com
Man City,Iliman Ndiaye,26,Senegal,0.44,3,/images/players/man_city/iliman_ndiaye.png,2025-26 PL (rescaled),premierleague.com
Man City,Jeremy Doku,24,Belgium,0.4,3,/images/players/man_city/jeremy_doku.png,2025-26 PL (rescaled),premierleague.com
Man City,Allan,22,Brazil,0.49,2,/images/players/man_city/allan.jpg,estimated,Wikimedia Commons (CC BY-SA 4.0)
Man City,Ryan McAidoo,18,England,0.46,2,/images/players/man_city/ryan_mcaidoo.svg,estimated,generated avatar
Man United,Benjamin Šeško,23,Slovenia,0.67,3,/images/players/man_united/benjamin_sesko.jpg,2025-26 PL (rescaled),Wikimedia Commons (CC BY-SA 4.0)
Man United,Bryan Mbeumo,27,Cameroon,0.66,3,/images/players/man_united/bryan_mbeumo.png,2025-26 PL (rescaled),premierleague.com
Man United,Matheus Cunha,27,Brazil,0.6,3,/images/players/man_united/matheus_cunha.png,2025-26 PL (rescaled),premierleague.com
Man United,Patrick Dorgu,21,Denmark,0.37,2,/images/players/man_united/patrick_dorgu.png,2025-26 PL (rescaled),premierleague.com
Man United,Amad Diallo,24,Ivory Coast,0.25,3,/images/players/man_united/amad_diallo.png,2025-26 PL (rescaled),premierleague.com
Man United,Joshua Zirkzee,25,Netherlands,0.25,3,/images/players/man_united/joshua_zirkzee.png,2025-26 PL (rescaled),premierleague.com
Aston Villa,Tammy Abraham,28,England,0.37,1,/images/players/aston_villa/tammy_abraham.png,2025-26 PL (rescaled),premierleague.com
Aston Villa,Alejandro Garnacho,22,Argentina,0.2,3,/images/players/aston_villa/alejandro_garnacho.png,2025-26 PL (rescaled),premierleague.com
Aston Villa,Nicolas Jackson,25,Senegal,0.34,3,/images/players/aston_villa/nicolas_jackson.png,estimated,premierleague.com
